,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
0,1.5,-0.25,-4.25,0.0,-0.5,3.75,-0.25,0.25,1.25,-2.5
1,4.25,-0.5,-4.5,-0.25,-1.75,0.5,0.0,-0.25,-1.5,-3.25
2,2.75,0.0,-2.0,0.5,2.75,2.5,0.0,0.25,2.5,-4.0
3,4.25,-1.75,-3.5,1.0,1.25,0.75,-1.0,0.5,-1.0,-2.75
4,2.625,-0.875,-1.875,-0.125,0.125,3.875,1.75,-0.875,1.375,-3.875
5,3.125,-0.875,-4.125,2.375,-1.125,3.375,1.375,1.875,-0.625,-2.875
6,2.375,-3.625,-4.125,-2.125,-0.375,3.875,0.125,2.125,0.625,-2.625
7,0.5,-0.75,-4.25,1.75,-1.25,0.0,2.125,0.5,-2.0,-4.5
8,3.0,-2.75,-7.5,-3.0,-4.0,-1.0,-3.0,-2.25,-4.25,-3.75
9,1.75,-2.5,-3.75,-0.75,-1.0,1.75,2.625,0.5,-2.25,-3.5
00,2.75,-1.75,-5.0,1.25,-1.75,2.25,-2.0,1.25,-1.0,-2.5
01,3.75,-0.75,-4.75,-0.25,-0.5,2.0,-0.5,0.25,-1.25,-3.5
02,3.25,0.25,-3.5,0.75,1.75,2.5,-0.25,0.5,1.0,-2.5
03,4.0,-1.75,-3.5,2.0,1.25,2.25,-1.0,0.5,-0.75,-2.5
04,3.25,-0.25,-3.25,1.0,-0.5,4.25,0.5,-0.25,0.75,-2.5
05,2.75,-0.5,-4.25,2.25,-1.5,4.25,0.25,1.5,-1.25,-3.0
06,3.5,-1.25,-4.75,-0.5,-0.75,3.5,-0.75,1.75,0.0,-2.5
07,1.5,-0.75,-5.75,3.0,-2.5,1.0,-0.75,0.5,-3.25,-5.0
08,3.5,-2.5,-7.25,0.75,-3.5,-0.25,-3.25,-1.0,-3.75,-3.0
09,3.25,-1.75,-3.75,2.0,-0.5,3.25,1.0,1.5,-1.75,-2.75
10,3.5,-2.25,-5.375,2.75,-1.875,-0.125,1.125,1.375,-2.375,-2.875
11,4.25,-3.25,-7.0,0.5,-2.75,-1.5,-0.625,-1.0,-6.25,-3.25
12,3.25,0.25,-6.5,0.5,-0.75,1.5,-1.5,-0.5,-3.0,-4.0
13,-0.375,-5.125,-8.875,-0.875,-1.875,-1.125,-5.375,-2.125,-6.625,-7.875
14,3.25,-0.75,-5.5,1.5,-1.0,2.5,2.0,-0.25,-3.25,-3.5
15,3.75,-1.25,-6.75,1.25,0.0,2.0,1.25,1.25,-2.5,-1.75
16,3.75,-2.0,-6.25,-0.75,1.25,3.25,1.25,0.75,-1.0,-3.25
17,0.5,-2.5,-6.5,0.0,-0.5,1.0,2.25,0.0,-3.75,-5.5
18,4.0,-1.0,-7.25,1.5,0.0,0.75,1.0,0.25,-2.5,-2.25
19,2.75,-2.75,-5.25,1.75,1.0,1.25,2.5,0.75,-0.25,-4.0
20,3.875,-1.125,-6.0,0.75,1.5,1.25,1.25,0.75,-1.75,-3.75
21,4.25,-2.75,-7.25,-0.25,-0.25,0.25,-1.75,-0.25,-4.75,-4.75
22,3.0,-1.25,-4.5,0.75,2.5,3.5,1.0,0.5,-0.25,-2.75
23,2.5,-1.25,-5.5,1.25,2.0,2.0,-0.25,1.5,-0.75,-3.5
24,2.25,-1.5,-6.5,4.5,0.0,-0.5,-2.5,1.0,1.0,-2.25
25,2.25,-1.0,-4.5,-0.75,0.75,5.0,1.25,1.0,1.25,-2.5
26,0.75,-2.75,-4.25,-2.75,2.0,5.5,0.5,0.5,1.0,-3.25
27,2.75,-1.75,-4.75,-0.25,-0.75,4.0,1.5,1.0,-1.5,-2.0
28,3.75,-0.5,-5.75,-0.75,-1.25,0.75,1.5,0.0,-1.75,-2.0
29,2.5,-3.5,-3.25,-0.5,0.75,3.0,2.25,0.75,0.0,-2.25
30,3.75,-1.75,-5.0,1.5,-0.75,1.0,1.25,1.0,-2.0,-1.75
31,4.25,-1.5,-3.5,0.25,-0.25,2.0,0.25,0.25,-1.5,-2.5
32,3.25,-0.5,-5.25,-1.25,-0.25,3.0,-1.75,-0.25,0.25,-3.25
33,3.75,-1.0,-4.0,2.0,0.75,1.25,1.25,0.25,-2.25,-2.75
34,2.25,-0.25,-3.0,0.0,-0.5,3.75,1.75,-0.25,0.75,-3.0
35,2.5,-1.0,-4.25,1.0,-1.0,2.75,2.0,1.25,-1.25,-2.0
36,3.25,-1.25,-4.0,-0.75,1.25,3.5,1.75,0.75,1.5,-2.25
37,-0.75,-3.75,-5.5,-0.5,-2.5,0.75,2.5,-1.5,-3.25,-4.75
38,3.5,-0.25,-4.75,-0.25,-1.25,2.0,1.5,-0.5,-0.25,-3.25
39,3.5,-1.25,-3.25,1.5,0.5,2.75,2.0,0.25,-0.25,-2.75
40,3.25,-2.75,-6.5,1.0,-3.25,0.0,2.0,-1.0,-3.75,-4.25
41,3.75,-2.0,-4.5,-0.75,-1.5,1.25,0.5,-0.75,-2.5,-4.0
42,4.25,-1.5,-6.5,-2.5,-2.25,2.0,-1.0,2.0,-1.0,-3.0
43,3.25,-1.75,-4.75,0.75,-1.0,2.0,1.75,-0.25,-2.25,-3.25
44,2.25,-2.5,-4.5,0.0,-1.75,2.5,2.5,-1.5,-1.25,-4.5
45,3.0,-2.25,-5.0,1.5,-2.5,2.75,2.0,0.75,-3.0,-2.75
46,2.0,-3.0,-4.75,-1.5,0.0,1.75,2.5,0.25,0.5,-4.0
47,0.5,-1.0,-5.5,1.75,-1.25,1.5,2.25,0.0,-2.25,-4.5
48,4.0,-0.75,-6.25,1.0,-2.0,1.5,1.0,0.0,-1.75,-2.75
49,1.75,-4.25,-3.75,1.5,-1.25,2.75,2.5,-0.25,-1.25,-4.5
50,3.0,-3.25,-4.75,1.75,-3.75,1.25,2.5,1.25,-2.5,-4.0
51,3.5,-3.0,-4.0,0.75,-1.75,2.75,0.25,1.25,-3.75,-4.25
52,3.0,-1.25,-3.5,1.75,1.0,4.5,1.0,1.5,-0.5,-2.5
53,2.75,-2.75,-4.0,1.5,-0.25,3.75,1.75,1.25,-1.5,-3.0
54,3.0,-2.25,-4.75,1.25,-1.25,4.0,2.0,1.0,-0.5,-2.0
55,1.75,-3.75,-5.75,1.25,-3.25,3.0,2.5,0.75,-2.5,-3.75
56,3.0,-2.5,-4.5,0.25,-0.25,3.25,2.25,2.0,0.0,-3.0
57,1.0,-3.75,-5.25,1.75,-2.5,3.0,2.25,0.5,-2.75,-4.25
58,3.5,-2.75,-5.0,0.5,-2.25,2.25,1.75,0.25,-1.25,-3.0
59,2.5,-3.5,-4.5,1.25,-1.5,2.25,2.25,0.75,-1.75,-3.75
60,4.25,-2.5,-7.25,0.5,-2.5,1.25,1.0,1.0,-2.5,-2.5
61,4.0,-2.75,-4.5,-0.25,-0.5,2.0,1.0,0.75,-0.75,-2.75
62,3.5,-1.5,-4.0,0.25,1.0,3.5,1.5,1.5,1.25,-1.5
63,3.75,-1.75,-4.0,1.25,0.75,3.0,0.5,1.75,-0.75,-1.75
64,4.0,-1.75,-5.0,1.5,-2.0,2.5,-0.25,0.5,0.0,-3.25
65,3.5,-2.0,-5.0,0.5,-2.25,4.0,1.25,2.0,-0.5,-2.75
66,3.25,-2.0,-4.75,0.75,0.25,3.0,2.0,1.75,0.75,-2.5
67,3.0,-2.5,-4.5,2.0,-1.25,2.25,2.0,1.75,-0.5,-2.75
68,3.75,-2.25,-5.0,1.25,-1.75,2.75,0.5,1.75,-0.25,-2.0
69,1.0,-2.25,-4.5,1.0,0.75,2.0,2.25,0.75,0.75,-2.5
70,3.5,-2.75,-6.25,2.75,-4.25,-1.0,2.0,0.25,-3.5,-3.75
71,3.75,-1.5,-5.0,2.25,-1.75,0.25,1.5,0.25,-2.5,-3.0
72,3.5,-0.75,-6.75,0.5,-1.5,0.75,1.0,0.5,-1.0,-2.75
