,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
0,12.75,14.5,18.75,15.0,15.5,18.25,16.75,9.5,13.25,7.5
1,12.75,14.25,17.0,15.75,14.25,17.25,16.75,8.25,11.0,5.25
2,10.75,12.25,16.5,14.0,14.0,15.75,14.75,6.75,10.5,4.25
3,8.5,9.5,13.0,11.0,9.25,13.5,12.25,3.5,6.5,0.75
4,14.0,14.5,18.5,16.25,16.25,18.75,18.0,9.75,12.75,6.75
5,13.25,14.75,18.5,17.25,15.0,18.5,18.25,8.5,12.25,6.5
6,12.5,14.5,18.25,16.5,17.5,18.25,17.25,8.5,12.5,6.5
7,13.25,15.75,18.75,16.5,15.25,18.75,18.0,9.0,12.25,7.0
8,12.25,14.0,17.5,14.5,12.75,16.75,16.0,8.0,10.75,6.0
9,7.75,9.75,14.25,11.25,9.75,13.5,12.25,4.25,7.25,1.75
00,12.0,11.75,17.25,13.5,15.25,18.25,15.5,7.0,13.25,4.0
01,12.0,12.75,18.5,14.0,15.5,19.0,16.5,7.25,13.5,4.25
02,11.25,12.0,17.25,13.25,15.75,19.0,16.25,6.0,12.75,3.5
03,14.0,14.25,19.75,15.25,18.0,20.5,18.75,8.0,14.75,5.0
04,15.25,14.25,20.0,15.75,18.5,21.0,19.25,8.0,15.5,6.0
05,13.0,12.75,18.5,14.25,16.5,19.25,17.25,7.0,14.0,4.0
06,12.5,12.75,19.0,14.5,16.25,19.0,17.5,7.0,13.75,4.0
07,12.25,13.25,18.75,13.75,16.75,19.25,18.25,7.75,13.25,3.5
08,11.75,12.75,19.25,14.25,16.5,20.0,17.75,7.75,13.0,4.0
09,11.5,12.25,19.25,14.0,16.25,19.5,17.5,7.0,14.0,4.0
10,14.75,16.75,19.5,18.25,13.5,19.75,16.25,10.0,12.25,6.75
11,15.5,17.0,18.75,18.5,16.75,20.0,19.25,10.5,13.5,8.5
12,12.0,14.25,16.0,15.0,14.0,16.75,16.75,8.0,10.25,5.25
13,15.0,16.5,18.0,17.25,16.0,18.5,17.75,10.75,12.5,7.5
14,16.5,18.0,19.75,19.0,17.75,21.0,20.75,12.0,15.0,8.75
15,15.0,17.5,18.5,18.5,18.25,20.5,19.75,12.5,13.75,8.25
16,15.0,16.0,19.0,18.5,17.5,19.0,20.25,10.75,13.25,5.75
